=== MANUAL PATH SEQUENCES COMPARISON LOG (GRAPHS_NON_DAG) ===


Graph Size: 10 Nodes | File: graph_10.json
  -> Exact SPP Path:   [0, 7, 6, 4, 5, 2, 3, 9] (Cost: -22.17)
  -> Exact RCSPP Path: [0, 3, 9] (Cost: 5.78)
  [SPP] GA Run 00 | Feasible=True  | Cost=   -20.09 | Path: [0, 8, 6, 4, 5, 2, 3, 9]
  [SPP] GA Run 01 | Feasible=True  | Cost=   -12.82 | Path: [0, 8, 2, 3, 9]
  [SPP] GA Run 02 | Feasible=True  | Cost=   -20.09 | Path: [0, 8, 6, 4, 5, 2, 3, 9]
  [SPP] GA Run 03 | Feasible=True  | Cost=   -22.17 | Path: [0, 7, 6, 4, 5, 2, 3, 9]
  [SPP] GA Run 04 | Feasible=True  | Cost=   -22.17 | Path: [0, 7, 6, 4, 5, 2, 3, 9]
  [SPP] GA Run 05 | Feasible=True  | Cost=   -12.82 | Path: [0, 8, 2, 3, 9]
  [SPP] GA Run 06 | Feasible=True  | Cost=   -12.82 | Path: [0, 8, 2, 3, 9]
  [SPP] GA Run 07 | Feasible=True  | Cost=   -20.09 | Path: [0, 8, 6, 4, 5, 2, 3, 9]
  [SPP] GA Run 08 | Feasible=True  | Cost=   -22.17 | Path: [0, 7, 6, 4, 5, 2, 3, 9]
  [SPP] GA Run 09 | Feasible=True  | Cost=   -22.17 | Path: [0, 7, 6, 4, 5, 2, 3, 9]
  [SPP] GA Run 10 | Feasible=True  | Cost=   -22.17 | Path: [0, 7, 6, 4, 5, 2, 3, 9]
  [SPP] GA Run 11 | Feasible=True  | Cost=   -15.77 | Path: [0, 1, 6, 4, 5, 2, 3, 9]
  [SPP] GA Run 12 | Feasible=True  | Cost=   -20.09 | Path: [0, 8, 6, 4, 5, 2, 3, 9]
  [SPP] GA Run 13 | Feasible=True  | Cost=   -20.09 | Path: [0, 8, 6, 4, 5, 2, 3, 9]
  [SPP] GA Run 14 | Feasible=True  | Cost=   -12.82 | Path: [0, 8, 2, 3, 9]
  [SPP] GA Run 15 | Feasible=True  | Cost=   -22.17 | Path: [0, 7, 6, 4, 5, 2, 3, 9]
  [SPP] GA Run 16 | Feasible=True  | Cost=   -12.82 | Path: [0, 8, 2, 3, 9]
  [SPP] GA Run 17 | Feasible=True  | Cost=   -12.82 | Path: [0, 8, 2, 3, 9]
  [SPP] GA Run 18 | Feasible=True  | Cost=   -12.82 | Path: [0, 8, 2, 3, 9]
  [SPP] GA Run 19 | Feasible=True  | Cost=   -20.09 | Path: [0, 8, 6, 4, 5, 2, 3, 9]
  [SPP] GA Run 20 | Feasible=True  | Cost=   -20.09 | Path: [0, 8, 6, 4, 5, 2, 3, 9]
  [SPP] GA Run 21 | Feasible=True  | Cost=   -15.77 | Path: [0, 1, 6, 4, 5, 2, 3, 9]
  [SPP] GA Run 22 | Feasible=True  | Cost=   -12.82 | Path: [0, 8, 2, 3, 9]
  [SPP] GA Run 23 | Feasible=True  | Cost=   -12.82 | Path: [0, 8, 2, 3, 9]
  [SPP] GA Run 24 | Feasible=True  | Cost=   -22.17 | Path: [0, 7, 6, 4, 5, 2, 3, 9]
  [SPP] GA Run 25 | Feasible=True  | Cost=   -18.25 | Path: [0, 8, 2, 5, 6, 4, 3, 9]
  [SPP] GA Run 26 | Feasible=True  | Cost=   -22.17 | Path: [0, 7, 6, 4, 5, 2, 3, 9]
  [SPP] GA Run 27 | Feasible=True  | Cost=   -12.82 | Path: [0, 8, 2, 3, 9]
  [SPP] GA Run 28 | Feasible=True  | Cost=   -12.66 | Path: [0, 8, 9]
  [SPP] GA Run 29 | Feasible=True  | Cost=   -12.82 | Path: [0, 8, 2, 3, 9]
  [SPP] GA Run 30 | Feasible=True  | Cost=   -15.77 | Path: [0, 1, 6, 4, 5, 2, 3, 9]
  [SPP] GA Run 31 | Feasible=True  | Cost=   -12.82 | Path: [0, 8, 2, 3, 9]
  [SPP] GA Run 32 | Feasible=True  | Cost=   -22.17 | Path: [0, 7, 6, 4, 5, 2, 3, 9]
  [SPP] GA Run 33 | Feasible=True  | Cost=   -12.82 | Path: [0, 8, 2, 3, 9]
  [SPP] GA Run 34 | Feasible=True  | Cost=   -22.17 | Path: [0, 7, 6, 4, 5, 2, 3, 9]
  [SPP] GA Run 35 | Feasible=True  | Cost=   -22.17 | Path: [0, 7, 6, 4, 5, 2, 3, 9]
  [SPP] GA Run 36 | Feasible=True  | Cost=   -22.17 | Path: [0, 7, 6, 4, 5, 2, 3, 9]
  [SPP] GA Run 37 | Feasible=True  | Cost=   -18.25 | Path: [0, 8, 2, 5, 6, 4, 3, 9]
  [SPP] GA Run 38 | Feasible=True  | Cost=   -20.09 | Path: [0, 8, 6, 4, 5, 2, 3, 9]
  [SPP] GA Run 39 | Feasible=True  | Cost=   -22.17 | Path: [0, 7, 6, 4, 5, 2, 3, 9]
  [SPP] GA Run 40 | Feasible=True  | Cost=   -12.66 | Path: [0, 8, 9]
  [SPP] GA Run 41 | Feasible=True  | Cost=   -20.09 | Path: [0, 8, 6, 4, 5, 2, 3, 9]
  [SPP] GA Run 42 | Feasible=True  | Cost=   -22.17 | Path: [0, 7, 6, 4, 5, 2, 3, 9]
  [SPP] GA Run 43 | Feasible=True  | Cost=   -12.82 | Path: [0, 8, 2, 3, 9]
  [SPP] GA Run 44 | Feasible=True  | Cost=   -12.66 | Path: [0, 8, 9]
  [SPP] GA Run 45 | Feasible=True  | Cost=   -12.82 | Path: [0, 8, 2, 3, 9]
  [SPP] GA Run 46 | Feasible=True  | Cost=   -12.82 | Path: [0, 8, 2, 3, 9]
  [SPP] GA Run 47 | Feasible=True  | Cost=   -12.82 | Path: [0, 8, 2, 3, 9]
  [SPP] GA Run 48 | Feasible=True  | Cost=   -22.17 | Path: [0, 7, 6, 4, 5, 2, 3, 9]
  [SPP] GA Run 49 | Feasible=True  | Cost=   -12.82 | Path: [0, 8, 2, 3, 9]
  [RCSPP] GA Run 00 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] GA Run 01 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] GA Run 02 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] GA Run 03 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] GA Run 04 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] GA Run 05 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] GA Run 06 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] GA Run 07 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] GA Run 08 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] GA Run 09 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] GA Run 10 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] GA Run 11 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] GA Run 12 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] GA Run 13 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] GA Run 14 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] GA Run 15 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] GA Run 16 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] GA Run 17 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] GA Run 18 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] GA Run 19 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] GA Run 20 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] GA Run 21 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] GA Run 22 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] GA Run 23 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] GA Run 24 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] GA Run 25 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] GA Run 26 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] GA Run 27 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] GA Run 28 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] GA Run 29 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] GA Run 30 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] GA Run 31 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
